MZ809611	SRR15391081
MZ759029	SRR15399657
MZ518690	SRR15051852
MZ694236	SRR15267422
MZ591441	SRR15156591
MZ744902	SRR15363100
MZ763138	SRR15407501
MZ743400	SRR15270671
MZ798196	SRR15416769
MZ554631	SRR15088713
MZ743052	SRR15271024
MZ786122	SRR15379083
MZ731251	SRR15350481
MZ730590	SRR15344731
MZ695954	SRR15283910
MZ432954	SRR14873532
MZ689958	SRR15266490
MZ696935	SRR15313449
MZ530585	SRR15053443
MZ743440	SRR15270261
MZ811191	SRR15445044
MZ746243	SRR15377525
MZ696374	SRR15285003
OU435366	ERR6330233
MZ798187	SRR15416762
MZ765342	SRR15397751
MZ696827	SRR15313312
MZ698111	SRR15286800
MZ662286	SRR15223220
MZ649802	SRR15228504
MZ759714	SRR15400102
MZ784569	SRR15380844
OK016987	SRR15611503
MZ740427	SRR15390668
MZ784963	SRR15379861
MZ698148	SRR15286298
MZ761165	SRR15394459
MZ697313	SRR15285372
MZ554464	SRR15088089
MZ699729	SRR15288795
MZ699286	SRR15284714
MZ762475	SRR15396624
MZ662273	SRR15223262
MZ804421	SRR15446256
MZ936596	SRR15601456
MZ733483	SRR15345913
MZ647040	SRR15238134
MZ786011	SRR15380585
MZ732678	SRR15352373
MZ850594	SRR15232780
MZ765738	SRR15398995
MZ733263	SRR15352793
MZ694596	SRR15267514
MZ554173	SRR15088027
MZ506004	SRR15011664
MZ765668	SRR15398803
MZ850097	SRR15231572
MZ785690	SRR15382702
MZ703868	SRR15224909
MZ811270	SRR15444785
MZ848721	SRR15232722
MZ706088	SRR15200319
OK032830	SRR15707387
MZ744885	SRR15363059
MZ833268	SRR15460157
MZ804544	SRR15446093
MZ730262	SRR15344546
MZ802369	SRR15434222
MZ698906	SRR15314310
MZ647346	SRR15238198
MZ784496	SRR15380184
MZ591915	SRR15157401
OK039789	SRR15701091
MZ655535	SRR15229970
MZ797712	SRR15432919
MZ688152	SRR15268171
MZ699966	SRR15288434
MZ854915	SRR15541368
MZ729429	SRR15346172
MZ763862	SRR15407360
MZ740202	SRR15384268
MZ704108	SRR15225007
MZ759901	SRR15392887
MZ530811	SRR15053530
MZ849565	SRR15232860
MZ741090	SRR15289901
MZ848805	SRR15231515
MZ732914	SRR15351615
MZ784171	SRR15382450
MZ786191	SRR15380000
MZ786387	SRR15378076
MZ810238	SRR15391069
MZ698485	SRR15287157
MZ784333	SRR15378548
MZ783402	SRR15380767
MZ703808	SRR15224388
MZ697682	SRR15286939
MZ705466	SRR15200682
MZ804629	SRR15446006
MZ744775	SRR15364249
MZ654919	SRR15229344
MZ694721	SRR15267336
MZ703761	SRR15224743
MZ810327	SRR15391587
MZ797686	SRR15433562
MZ730908	SRR15349497
MZ650675	SRR15223864
MZ848954	SRR15232972
MZ733944	SRR15296689
MZ740968	SRR15290414
MZ704141	SRR15224969
MZ699056	SRR15287530
MZ699834	SRR15288679
MZ746216	SRR15377374
MZ763456	SRR15407243
OK033941	SRR15707131
MZ785526	SRR15380940
MZ764965	SRR15398570
MZ760202	SRR15393005
MZ740868	SRR15289609
MZ760816	SRR15393233
MZ662386	SRR15223194
MZ833055	SRR15459755
MZ760714	SRR15392676
MZ745790	SRR15272554
MZ760593	SRR15392752
MZ765511	SRR15397617
MZ690417	SRR15266190
MZ741821	SRR15383060
MZ740570	SRR15290095
MZ518466	SRR15051971
MZ764923	SRR15397273
MZ750316	SRR15390565
MZ809410	SRR15391212
MZ703768	SRR15224734
MZ787136	SRR15378901
MZ683587	SRR15271495
MZ554621	SRR15088698
MZ522647	SRR15025888
MZ916734	SRR15609267
OK117494	SRR15835531
MZ765588	SRR15397941
MZ785889	SRR15378990
MZ804540	SRR15445988
MZ856407	SRR15539541
MZ762639	SRR15395996
MZ760388	SRR15393389
MZ855045	SRR15541611
MZ740502	SRR15289659
MZ741550	SRR15299627
MZ916911	SRR15609313
MZ786703	SRR15382652
MZ728887	SRR15224456
MZ811360	SRR15444896
MZ741625	SRR15382926
MZ765407	SRR15399036
MZ683798	SRR15271362
MZ729810	SRR15345221
MZ851082	SRR15233548
MZ804352	SRR15446163
MZ731298	SRR15350263
MZ650860	SRR15223600
OK039402	SRR15706410
MZ730158	SRR15344696
MZ688306	SRR15268347
MZ530985	SRR15026647
MZ761425	SRR15394080
MZ698310	SRR15286740
MZ433113	SRR14880552
MZ742621	SRR15272937
MZ731177	SRR15350370
MZ765071	SRR15399155
MZ916921	SRR15609023
MZ530399	SRR15053109
MZ532454	SRR15053682
MZ699531	SRR15288359
MZ746020	SRR15272856
MZ699635	SRR15288221
MZ744764	SRR15364055
MZ784917	SRR15382083
MZ786090	SRR15379076
MZ750313	SRR15390569
MZ531239	SRR15026295
MZ697354	SRR15285648
MZ851267	SRR15505421
MZ694518	SRR15267681
MZ760147	SRR15392656
MZ704956	SRR15138556
MZ732595	SRR15352565
MZ848817	SRR15232981
MZ662140	SRR15238637
